Constellation, Max Distance, Same Constellations Accross Cultures 
CON romanian Sco,0.08114007488671736, 1
CON chinese 136,0.08116870733720274, 1
CON arabic_ancient 0501,0.08131274815204963, 1
#CON western UMi,0.08147927251909814, 9
CON arabic_al-sufi UMi,0.08147927251909814, 1
CON chinese 129,0.08154813557530904, 1
CON chinese 252,0.08175043384584758, 1
CON korean 164,0.0818156668119132, 1
CON chinese 242,0.08230456029568461, 1
CON chinese 224,0.08233147197859568, 1
CON western Cae,0.08251179345034386, 2
CON korean 079,0.08255022638266385, 1
CON chinese 055,0.08255022638266385, 1
CON ruelle Ser,0.08259028896666697, 1
CON chinese 263,0.0829417539494925, 1
CON northern_andes 005,0.0829417539494925, 1
CON western Vol,0.0831328714272492, 2
CON western_rey Vol,0.0831328714272492, 1
CON korean 103,0.08321196687529099, 1
CON western_rey Equ,0.08327427522599225, 2
CON western_rey Lyr,0.08359672195039301, 1
CON korean 145,0.08367950629376954, 1
CON chinese 253,0.08367950629376954, 1
CON western_hlad Cae,0.083738369139113, 2
CON romanian Prb,0.08375050549862328, 1
CON chinese 070,0.08376465854794268, 1
CON ruelle Cas,0.08377104892803404, 1
CON arabic_arabian_peninsula 2805,0.08381242671507184, 3
CON sardinian 007,0.08381242671507184, 1
CON arabic_arabian_peninsula 3299,0.08384184046677026, 3
CON arabic_al-sufi Lib,0.0839669158414682, 1
CON egyptian 015,0.08396796687605587, 1
CON chinese 157,0.08402690876917057, 1
CON korean 010,0.08453452892031404, 3
CON chinese 193,0.08456496037258367, 1
CON western_rey PsA,0.08468787149611644, 2
CON chinese 255,0.08514111038096812, 1
CON western_SnT CMa,0.08538181978193636, 1
CON chinese 277,0.08555500719488897, 1
CON ruelle PsA,0.08565655731466498, 1
CON arabic_al-sufi PsA,0.08565655731466498, 1
CON western_rey Ari,0.08567834034234838, 1
CON arabic_al-sufi Ari,0.08567834034234838, 1
CON western_hlad PsA,0.0857463802042277, 1
CON macedonian 019,0.08580314016485605, 1
#CON arabic_arabian_peninsula 300,0.08580314016485605, 10
CON inuit 005,0.08580314016485605, 1
CON inuit 010,0.08580314016485605, 1
CON chinese 089,0.08580670444328295, 1
CON chinese 292,0.08633338848931213, 1
CON korean 069,0.08636813250958364, 1
CON chinese 237,0.08643118190771007, 1
CON chinese 199,0.08665706964535884, 1
CON korean 097,0.08671109920962382, 2
