Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON western Dra,2.393822853684507, 4
CON chinese 215,2.3927091488894145, 1
CON western Ori,2.392708417299511, 2
CON korean 201,2.3926543771779065, 2
CON korean 085,2.3924801597027776, 1
CON ruelle Aqr,2.3887970255284694, 1
CON western_SnT Eri,2.388620770811955, 1
CON western_hlad Crt,2.3863115803361836, 1
CON western Lyn,2.3860112840528855, 3
CON western Vir,2.385966083762412, 2
CON western_rey Cyg,2.3846551140827, 1
CON arabic_al-sufi Her,2.3823727965655417, 1
CON western_rey Car,2.38207764131284, 1
CON western_hlad Ara,2.381895841217222, 1
CON western_hlad Eri,2.3807745425197706, 1
CON western_SnT Gru,2.3797189349950894, 1
CON romanian Csa,2.379179469008148, 1
CON chinese 083,2.3763932826493512, 1
CON chinese 193,2.3748724659734, 1
CON western_hlad Dra,2.37391216738624, 1
CON western_SnT UMa,2.3736446048123425, 1
CON chinese 236,2.372697245127824, 1
CON chinese 272,2.372598398613778, 1
CON western Psc,2.3706482632210832, 1
CON japanese_moon_stations 09,2.3704450875812433, 1
CON chinese 029,2.3692360832310393, 1
CON tupi 006,2.3672842878349174, 1
CON ruelle Lib,2.3655612163839774, 1
CON arabic_al-sufi Oph,2.3637250630447277, 1
CON anutan 004,2.363709819860702, 1
CON boorong Otc,2.362036049405803, 1
CON western_rey Vel,2.3594677883637996, 1
CON arabic_al-sufi Per,2.359250337484427, 1
CON arabic_ancient 0299,2.358950175080878, 2
CON korean 170,2.3581306421117105, 1
CON chinese_contemporary Psc,2.3576223347527203, 1
CON ruelle Ari,2.356791393413963, 1
CON japanese_moon_stations 15,2.356376218462245, 1
CON siberian DNe,2.356209675223704, 1
CON chinese 171,2.3548317200562385, 1
CON egyptian 003,2.3528358743350983, 1
CON western_hlad Hor,2.352798011190971, 1
CON chinese_contemporary CMa,2.350858897943055, 1
CON western Vel,2.3507774603012, 2
CON korean 077,2.350605916614287, 1
CON arabic_al-sufi Boo,2.3503724250918134, 1
CON arabic_al-sufi Ari,2.350370850999197, 1
CON ruelle Ori,2.3499934090589005, 1
CON ruelle Oph,2.3494397512558067, 1
CON arabic_al-sufi Leo,2.347869982301631, 1
CON western PsA,2.346318616619073, 2
CON arabic_al-sufi Lep,2.3456340348944087, 1
CON arabic_al-sufi Vir,2.3450431965084877, 1
CON korean 124,2.3448484854630127, 1
CON belarusian 003,2.3448484854630127, 1
CON arabic_ancient 5199,2.344271913892771, 1
CON korean 192,2.344133227512687, 3
CON arabic_al-sufi Cap,2.343745325509356, 1
CON aztec 003,2.343733981451405, 1
CON chinese 221,2.3436540783515882, 1
CON romanian Chi,2.3427430585270517, 1
CON western CMa,2.3424994717324603, 1
CON western_rey CMa,2.34174848976304, 1
CON chinese 094,2.341577712185891, 1
CON western Lep,2.34094052729994, 2
CON chinese 232,2.3402132568553333, 1
CON korean 062,2.340200615747251, 1
CON korean 188,2.337078850566803, 1
CON japanese_moon_stations 21,2.3361476092524054, 1
CON korean 136,2.336075915315202, 1
CON chinese 252,2.3355455312457973, 1
CON western_rey Hya,2.334918323707118, 1
CON korean 044,2.334633509751918, 1
CON western_hlad Vel,2.3338061559101986, 2
CON ruelle Aur,2.332026865409725, 1
CON arabic_al-sufi Cas,2.330124628783866, 1
CON western_rey Sco,2.328460108330644, 1
CON western Car,2.3279558931832387, 2
CON western_hlad Cae,2.326965291868583, 2
CON romanian Ber,2.326565164018276, 1
CON romanian Tdz,2.3225898451631863, 1
CON arabic_al-sufi Aur,2.3209973857612853, 1
CON chinese 135,2.320393950268089, 1
CON western_SnT Boo,2.320337064825908, 1
