Constellation, Simulated Prolificness, Same Constellations Accross Cultures 
CON western_rey Aqr,-4.355108678313246, 1
CON western_rey Phe,-4.35662795633689, 1
CON western_SnT Hor,-4.359305677409449, 1
CON korean 125,-4.36, 2
CON western Tuc,-4.36, 2
CON arabic_ancient 2005,-4.36, 1
CON chinese 095,-4.36, 1
CON chinese 192,-4.36, 1
CON chinese 045,-4.37, 1
CON tukano 008,-4.371460075441546, 1
CON korean 004,-4.38, 1
CON korean 234,-4.38, 1
CON ruelle CarPupVel,-4.380177385931125, 1
CON western_rey Ind,-4.383064996918877, 1
CON ruelle Eri,-4.383124388901233, 1
CON indian N05,-4.39, 1
CON korean 166,-4.39, 1
CON korean 172,-4.39, 2
CON western Ind,-4.39, 2
CON western_hlad Sge,-4.39, 3
CON ruelle Sge,-4.39, 1
CON chinese 034,-4.39, 1
CON navajo 004,-4.390677857889291, 1
CON western_hlad Ind,-4.4, 1
CON chinese 046,-4.4045279099276335, 1
CON arabic_al-sufi And,-4.405578566142647, 1
CON korean 198,-4.405851608168682, 1
CON western Scl,-4.41, 2
CON western_rey Cen,-4.412407182509328, 1
CON arabic_al-sufi Ser,-4.417455422611622, 1
CON korean 019,-4.42, 1
CON chinese 033,-4.422176499845123, 1
CON western_hlad Hor,-4.429460873865798, 1
CON indian N23,-4.43, 1
CON macedonian 010,-4.43, 1
CON macedonian 015,-4.43, 1
CON korean 053,-4.43, 1
CON arabic_ancient 2399,-4.43, 1
CON romanian Pmi,-4.43, 1
CON romanian Ber,-4.434171638580823, 1
CON anutan 009,-4.438131825031401, 1
CON arabic_al-sufi Peg,-4.4385302490541365, 1
CON western_rey Cae,-4.44, 1
CON chinese 051,-4.44, 1
CON western_SnT Cen,-4.4417198367613375, 1
CON macedonian 013,-4.45, 1
CON western For,-4.45, 2
CON chinese 212,-4.450204329818941, 1
CON chinese 135,-4.451396140071414, 1
