Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON western_rey Hyi,4.68, 1
CON western_rey Aps,4.68, 1
CON chinese 105,4.68, 1
CON western_rey Pup,4.69, 1
CON western_rey Ind,4.69, 1
CON hawaiian_starlines MAN,4.7, 1
CON korean 070,4.7, 2
CON korean 239,4.7, 1
CON western Sco,4.7, 3
CON maori 004,4.7, 1
CON western_rey Sco,4.7, 1
CON western_rey Sct,4.7, 2
CON western_rey Equ,4.7, 2
CON arabic_al-sufi Sco,4.7, 1
CON chinese 024,4.7, 1
CON chinese 083,4.7, 1
CON western_rey Dor,4.71, 2
CON korean 133,4.72, 1
CON korean 263,4.72, 1
CON western_rey LMi,4.72, 2
CON romanian Cap,4.72, 1
CON arabic_arabian_peninsula 3299,4.73, 3
CON korean 033,4.73, 1
CON korean 164,4.73, 1
CON western_hlad Nor,4.73, 3
CON korean 083,4.74, 1
CON arabic_ancient 3699,4.74, 2
CON arabic_ancient 5999,4.74, 1
CON western_hlad UMa,4.74, 1
CON western_hlad Ser,4.74, 1
CON japanese_moon_stations 15,4.74, 1
CON ruelle Ser,4.74, 1
CON chinese 252,4.74, 1
CON chinese 263,4.74, 1
CON western_SnT Eri,4.74, 1
CON korean 231,4.75, 1
CON western_rey Cen,4.75, 1
CON chinese 058,4.75, 1
CON chinese 174,4.75, 1
CON chinese 309,4.75, 1
CON korean 167,4.76, 1
CON western_hlad Cam,4.76, 1
CON western_hlad Vul,4.76, 1
CON western_rey Cam,4.76, 1
CON chinese 076,4.76, 1
CON chinese 097,4.76, 1
CON chinese 103,4.76, 1
CON chinese 274,4.76, 1
CON western_SnT Cam,4.76, 1
CON arabic_arabian_peninsula 3199,4.77, 3
CON korean 211,4.77, 1
CON korean 237,4.77, 1
CON korean 246,4.77, 1
CON western_hlad Cap,4.77, 1
CON ruelle Cap,4.77, 1
CON korean 034,4.78, 1
CON korean 080,4.78, 2
CON korean 141,4.78, 1
CON western Oph,4.78, 2
CON korean 024,4.79, 1
CON korean 257,4.79, 1
CON ruelle Vul,4.79, 1
CON romanian Csa,4.79, 1
CON chinese 313,4.79, 1
CON arabic_arabian_peninsula 3499,4.8, 3
CON korean 082,4.8, 1
CON korean 086,4.8, 1
CON korean 145,4.8, 1
CON korean 152,4.8, 2
CON western Eri,4.8, 2
CON arabic_ancient 4099,4.8, 2
CON arabic_ancient 4399,4.8, 1
CON western_hlad Aqr,4.8, 1
CON japanese_moon_stations 25,4.8, 1
CON western_rey Aqr,4.8, 1
CON chinese 072,4.8, 1
CON chinese 136,4.8, 1
CON chinese 232,4.8, 1
CON chinese 265,4.8, 1
CON anutan 010,4.8, 1
CON boorong Cwp,4.8, 1
CON western_SnT Aqr,4.8, 1
CON korean 010,4.81, 3
CON arabic_ancient 4204,4.81, 1
CON western_rey Virf,4.81, 1
CON chinese 109,4.81, 1
CON chinese 195,4.81, 1
CON korean 090,4.82, 1
CON western Aqr,4.82, 2
CON arabic_ancient 1199,4.82, 1
CON western_rey Ophb,4.82, 1
CON western_rey Cap,4.82, 1
CON romanian Sar,4.82, 1
CON arabic_al-sufi Ser,4.82, 1
CON chinese 140,4.82, 1
CON chinese 145,4.82, 1
CON western_hlad CrA,4.83, 1
CON chinese 182,4.83, 1
CON egyptian 021,4.83, 1
CON korean 208,4.84, 2
CON korean 212,4.84, 1
CON korean 266,4.84, 1
CON arabic_ancient 4999,4.84, 1
CON arabic_ancient 6299,4.84, 1
CON arabic_al-sufi Tri,4.84, 1
CON chinese 086,4.84, 1
CON western_SnT Her,4.84, 1
CON korean 022,4.85, 1
CON korean 037,4.85, 1
CON western Dra,4.86, 4
CON arabic_ancient 3799,4.86, 2
CON western_rey Dra,4.86, 2
CON western_rey DraH,4.86, 1
CON chinese 158,4.86, 1
CON chinese 208,4.86, 1
CON western_hlad Pyx,4.87, 1
CON romanian Ber,4.87, 1
CON arabic_al-sufi Arg,4.87, 1
CON chinese 221,4.87, 1
CON korean 044,4.88, 1
CON arabic_ancient 3003,4.88, 3
CON ruelle Tau,4.88, 1
CON chinese 306,4.88, 1
CON chinese 311,4.88, 1
CON western_SnT Cha,4.88, 1
CON korean 051,4.89, 1
CON korean 069,4.89, 1
CON korean 121,4.89, 1
CON korean 156,4.89, 1
CON korean 216,4.89, 1
CON western Mic,4.89, 2
CON arabic_ancient 0799,4.89, 2
CON arabic_ancient 5399,4.89, 1
CON western_hlad Dra,4.89, 1
CON western_rey Mic,4.89, 1
CON tukano 008,4.9, 1
CON chinese 081,4.9, 1
CON arabic_al-sufi Peg,4.91, 1
CON chinese 068,4.91, 1
CON korean 002,4.92, 2
CON korean 061,4.92, 1
CON boorong Wkr,4.92, 1
CON korean 139,4.93, 1
CON western_hlad Tel,4.93, 1
CON ruelle Aql2,4.93, 1
CON navajo 006,4.93, 1
CON chinese 131,4.93, 1
CON korean 006,4.94, 1
CON western Hya,4.94, 2
CON ruelle Dra,4.94, 1
CON arabic_al-sufi Cyg,4.94, 1
CON korean 031,4.95, 1
CON korean 067,4.95, 1
CON korean 099,4.95, 1
CON korean 222,4.95, 1
CON western Nor,4.95, 2
#CON western UMi,4.95, 9
CON aztec 004,4.95, 1
CON arabic_al-sufi UMi,4.95, 1
CON arabic_al-sufi Cas,4.95, 1
CON chinese 147,4.95, 1
CON western_SnT Psc,4.95, 1
CON ruelle Aur,4.96, 1
CON chinese 250,4.96, 1
CON chinese 257,4.96, 1
CON korean 122,4.97, 2
CON korean 210,4.97, 2
CON arabic_ancient 1901,4.97, 2
CON chinese 269,4.97, 1
CON boorong Djt,4.97, 1
#CON macedonian 016,4.98, 10
CON arabic_ancient 4203,4.98, 1
CON romanian Hra,4.98, 1
CON romanian Vca,4.98, 1
CON romanian Sec,4.98, 1
CON chinese 069,4.98, 1
CON chinese 141,4.98, 1
CON tukano 004,4.99, 1
CON korean 116,4.99, 1
CON korean 183,4.99, 1
CON japanese_moon_stations 24,4.99, 1
CON ruelle Leo,4.99, 1
CON navajo 004,4.99, 1
CON chinese 013,4.99, 1
CON chinese 149,4.99, 1
CON egyptian 007,4.99, 1
CON korean 252,5.0, 2
CON ruelle Tuc,5.0, 1
CON western_rey Cygn,5.0, 1
CON arabic_al-sufi CMa,5.0, 1
CON chinese 201,5.0, 1
CON korean 223,5.01, 1
CON korean 251,5.02, 1
CON western_hlad Sgr,5.02, 1
CON ruelle PsA,5.02, 1
CON western_rey PsA,5.02, 2
CON chinese 085,5.02, 1
CON western_rey Cenf,5.03, 1
CON chinese 163,5.03, 1
CON korean 005,5.04, 2
CON korean 075,5.04, 1
CON western_rey Cenb,5.04, 1
CON chinese 050,5.04, 1
CON chinese 165,5.04, 1
CON sardinian 002,5.05, 1
CON navajo 005,5.05, 3
CON arabic_al-sufi Cep,5.05, 1
CON chinese 296,5.05, 1
CON korean 048,5.06, 1
CON korean 180,5.06, 1
CON chinese 113,5.06, 1
CON chinese 226,5.06, 1
CON korean 096,5.07, 1
CON korean 188,5.07, 1
CON western Cae,5.07, 2
CON arabic_ancient 0601,5.07, 1
CON western_hlad Cae,5.07, 2
CON japanese_moon_stations 26,5.07, 1
CON arabic_al-sufi Dra,5.07, 1
CON western_SnT Cen,5.07, 1
CON korean 232,5.08, 1
CON western Cam,5.08, 2
CON western Sex,5.08, 2
CON western_hlad Hya,5.08, 1
CON western_hlad Sex,5.08, 1
CON japanese_moon_stations 09,5.08, 1
CON western_rey Men,5.08, 1
CON chinese 224,5.08, 1
CON korean 198,5.09, 1
CON western Sge,5.09, 2
CON western_hlad Oct,5.09, 1
CON arabic_al-sufi Sgr,5.09, 1
CON arabic_arabian_peninsula 3399,5.1, 3
