Constellation, Average Magnitude, Same Constellations Accross Cultures 
CON arabic_al-sufi Hya,3.990357142857143, 1
CON western_hlad Sge,3.9924999999999997, 3
CON ruelle Sge,3.9924999999999997, 1
CON korean 124,3.992857142857143, 1
CON belarusian 003,3.992857142857143, 1
CON chinese 252,3.993846153846154, 1
CON romanian Omu,3.998333333333335, 1
CON arabic_ancient 2699,3.998666666666667, 1
CON korean 025,4.0, 2
CON chinese 311,4.0, 1
CON arabic_ancient 5999,4.0042857142857144, 1
CON korean 019,4.006666666666667, 1
CON chinese 076,4.01, 1
CON chinese 103,4.01, 1
CON western_rey Cap,4.010000000000001, 1
CON lokono 003,4.013333333333334, 1
CON boorong Bbg,4.015, 1
CON western_SnT Ind,4.016, 1
CON arabic_ancient 2008,4.016666666666667, 1
CON korean 268,4.02, 2
CON western_rey PsA,4.02125, 2
CON korean 249,4.027142857142858, 1
CON macedonian 010,4.0275, 1
CON arabic_ancient 2399,4.0275, 1
CON romanian Pmi,4.028, 1
CON western Del,4.0280000000000005, 4
CON anutan 007,4.0280000000000005, 1
CON arabic_al-sufi Oph,4.029642857142858, 1
CON ruelle Sct,4.029999999999999, 1
CON western_rey Ari,4.031, 1
CON arabic_ancient 2899,4.031052631578947, 1
CON chinese 081,4.031666666666667, 1
CON arabic_al-sufi And,4.034347826086957, 1
CON chinese 281,4.035, 1
CON western_SnT Tel,4.036666666666666, 1
CON tupi 006,4.0371428571428565, 1
CON japanese_moon_stations 24,4.037142857142857, 1
CON chinese 015,4.037142857142857, 1
CON tupi 003,4.039032258064515, 1
CON western Ret,4.0425, 5
CON arabic_al-sufi Ser,4.052777777777779, 1
CON boorong Pur,4.053846153846154, 1
CON western Oct,4.056666666666666, 4
CON chinese 111,4.0600000000000005, 1
CON western Dor,4.062, 2
CON chinese 251,4.0633333333333335, 1
CON korean 178,4.064285714285715, 1
CON arabic_ancient 2003,4.0649999999999995, 1
CON korean 108,4.066000000000001, 1
CON western_rey Aqr,4.068571428571428, 1
CON ruelle Cet,4.069473684210526, 1
CON arabic_al-sufi Tau,4.07, 1
CON chinese 109,4.07, 1
CON western_hlad Tuc,4.075, 2
CON western_rey Ind,4.0760000000000005, 1
CON korean 183,4.07625, 1
CON chinese 013,4.07625, 1
CON ruelle Lac,4.079999999999999, 1
CON western_rey Lyn,4.081428571428572, 1
CON chinese 309,4.083, 1
CON korean 037,4.084, 1
CON romanian Rac,4.0840000000000005, 2
CON western Cet,4.086842105263158, 2
CON korean 090,4.087142857142857, 1
CON arabic_arabian_peninsula 3499,4.0874999999999995, 3
CON korean 082,4.0874999999999995, 1
CON arabic_ancient 1999,4.088947368421053, 2
CON arabic_ancient 2299,4.09, 1
CON ruelle Tuc,4.09, 1
CON arabic_al-sufi Leo,4.097600000000001, 1
CON japanese_moon_stations 25,4.098333333333334, 1
CON indian N23,4.1, 1
CON arabic_ancient 4203,4.1033333333333335, 1
CON korean 193,4.11, 1
CON arabic_ancient 4204,4.115, 1
CON navajo 002,4.116153846153846, 1
CON chinese 221,4.116666666666666, 1
CON tukano 002,4.118461538461538, 1
CON japanese_moon_stations 09,4.119999999999999, 1
