Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON navajo 008,0.10753486736198492, 1
CON western_SnT Cep,0.10760881928955628, 1
CON chinese 086,0.10762869611671733, 1
CON tukano 005,0.10803171315458492, 1
CON korean 261,0.10813769017961512, 1
CON western_rey And,0.1083234039551052, 1
CON korean 180,0.1087564284052503, 1
CON korean 141,0.10876426135013982, 1
CON romanian Arc,0.10883897805136224, 1
CON korean 154,0.10918322868621633, 2
CON chinese 292,0.10919674858528541, 1
CON western_hlad Mic,0.10934887687506056, 1
CON chinese_contemporary CMa,0.10946950201064953, 1
CON korean 238,0.10961035092525542, 1
CON western Leo,0.10963200701334963, 2
CON western_hlad Tel,0.1097637242226899, 1
CON western_SnT Car,0.10988004098274662, 1
CON western Oph,0.11024594999993369, 2
CON western Sco,0.11025801039927513, 3
CON arabic_al-sufi Psc,0.11043448512819742, 1
CON anutan 006,0.11048730096944986, 1
CON western_rey SerCd,0.11056159527784155, 1
CON ruelle Lup,0.11066112722344154, 1
CON western_SnT Ind,0.11074627672882645, 1
CON arabic_ancient 3003,0.11075047281059072, 3
CON arabic_al-sufi CrA,0.11089023243804218, 1
CON western_rey Per,0.11103978837551524, 1
CON korean 258,0.11115315441768163, 1
CON korean 090,0.11124998875320284, 1
CON boorong Pur,0.11128501333029585, 1
CON korean 182,0.11132004209834921, 1
CON korean 212,0.11158249608834087, 1
CON chinese 147,0.1117526436312053, 1
CON tupi 002,0.1117788978051274, 1
CON western_rey CrA,0.11182967511644078, 1
CON korean 213,0.1122511727648593, 1
CON korean 077,0.11241851936830609, 1
CON arabic_ancient 6099,0.11277989479603501, 1
CON western_rey Car,0.11284702398805918, 1
CON arabic_ancient 4599,0.11287489408221547, 1
CON korean 138,0.11293819053705152, 1
CON arabic_ancient 1099,0.11294271417510285, 1
CON western_hlad Sco,0.1133399978678573, 1
CON western_SnT Scl,0.11341183109417685, 1
CON chinese 287,0.1134658065747618, 1
CON western_hlad Per,0.11349503816110128, 1
CON lokono 012,0.11356576353999064, 1
CON arabic_al-sufi Crt,0.11357509025538536, 1
CON blackfoot 003,0.11360205040741954, 1
CON arabic_ancient 3002,0.11363673228049431, 2
CON western_SnT Peg,0.1136981557907897, 1
CON western_rey Lyn,0.11398607552466355, 1
CON lokono 003,0.11403199069436987, 1
CON western_hlad Leo,0.11406340848004462, 2
