Constellation, Max Continuation, Same Constellations Accross Cultures 
CON western_rey Vol,2.456468560676419, 1
CON western_SnT Boo,2.4577553502890894, 1
CON arabic_al-sufi Lib,2.4743291114137382, 1
CON western_rey Ser,2.4841969217118303, 1
CON western_rey SerCp,2.4841969217118303, 1
CON arabic_al-sufi Ser,2.4841969217118303, 1
CON western Car,2.489001594273588, 2
CON korean 112,2.516090716109858, 1
CON arabic_ancient 4799,2.516090716109858, 1
CON western_SnT UMa,2.526678274600324, 1
CON arabic_al-sufi Cap,2.531483373447626, 1
CON chinese 210,2.5337969288579805, 1
CON korean 187,2.546910659984554, 1
CON western_hlad Cha,2.5486402149050034, 1
CON ruelle Hya,2.5622816338342087, 1
CON western UMa,2.5655252824966746, 3
CON western_SnT Ind,2.5707816238314916, 1
CON western_rey Tau,2.5750598912551323, 1
CON korean 261,2.5989725077251866, 1
CON ruelle Pav,2.6047461762163477, 1
CON egyptian 016,2.6170988097216723, 1
CON chinese 287,2.6234717409154404, 1
CON chinese 286,2.624947940054171, 1
CON western Hyi,2.635065281113212, 2
CON korean 199,2.6376430458603313, 1
CON western Vir,2.644706028907806, 2
CON western_SnT Aql,2.6515692896322443, 1
CON western Psc,2.6568630871353074, 1
CON chinese_contemporary Psc,2.6568630871353074, 1
CON mandar 001,2.662360050463786, 1
CON chinese 067,2.702116523741635, 1
CON chinese 167,2.7403153734511196, 1
CON egyptian 006,2.750805893778164, 1
CON arabic_ancient 2008,2.754329325677495, 1
CON chinese 134,2.7566826491908007, 1
CON romanian Var,2.7793131430657505, 1
CON korean 091,2.800010513775567, 1
CON korean 129,2.8007544931258517, 1
CON lokono 012,2.8057531252833274, 1
CON arabic_al-sufi Aql,2.822835783344821, 1
CON western_hlad Cet,2.8296051748919804, 1
CON tupi 004,2.848407977239585, 1
CON arabic_al-sufi Per,2.868536151405249, 1
CON romanian Vir,2.8763333361604664, 1
CON chinese 284,2.876548034468217, 1
CON chinese 157,2.885642748683832, 1
CON ruelle PsA,2.8867588083514044, 1
CON ruelle Aql2,2.896547723892668, 1
CON arabic_al-sufi Oph,2.901037204353758, 1
#CON arabic_arabian_peninsula 300,2.9014632131565437, 10
CON western_rey Cas,2.9014632131565437, 1
CON sami 001,2.9014632131565437, 1
CON korean 189,2.9202740412681427, 1
CON ruelle Phe,2.921449764879965, 1
CON arabic_al-sufi Sgr,2.9586151310144384, 1
CON western Dor,2.9607847158594574, 2
CON western_rey Cen,2.9621483283708474, 1
CON ruelle Mon,2.989428303686606, 1
CON arabic_al-sufi Cet,3.010866295579646, 1
CON chinese 244,3.0372529980627876, 1
CON western_hlad Mus,3.045432668864449, 1
CON western_rey Mus,3.045432668864449, 1
CON western Ser,3.0586612713109758, 2
CON arabic_al-sufi UMa,3.0728182543357527, 1
CON korean 054,3.076641010239353, 1
CON ruelle Dra,3.127295331571032, 1
CON western_hlad Peg,3.163881029535469, 1
CON western_SnT Cep,3.1639161014405506, 1
CON western Cap,3.1937850154546545, 3
CON western_rey Peg,3.1953229137398327, 1
CON western_rey Ind,3.258018766063311, 1
CON northern_andes 001,3.259184742606027, 1
CON northern_andes 002,3.275072871220841, 1
CON romanian Sco,3.3030921069685286, 1
CON boorong Pur,3.3321296255166692, 1
CON korean 216,3.335293722641712, 1
CON western_hlad Pup,3.3364038033838272, 1
CON ruelle Cer,3.336581762446043, 1
CON ruelle Boo,3.3400730935201923, 1
CON western_rey Boo,3.3400730935201923, 1
CON chinese 208,3.3401427600933147, 1
CON korean 248,3.346648131504807, 1
CON mandar 003,3.398499228897421, 1
CON egyptian 005,3.4425803912117177, 1
CON korean 230,3.44982490687086, 1
CON hawaiian_starlines KAO,3.5726983481630286, 1
CON arabic_al-sufi CMa,3.5868955971871435, 1
CON anutan 007,3.6198052107954277, 1
CON ruelle Tuc,3.632804673697584, 1
CON korean 167,3.6545797900604136, 1
CON chinese 296,3.6613447373347636, 1
CON tupi 003,3.677173624617324, 1
CON ruelle Vir,3.6888325056705, 1
